Bin ID,Fullness,fullnessThreshold,timestamp,reason,year,month,day,day_of_week,fullness_change
1510830,1,6,2019-01-10,NOT_READY,2019,1,10,3,0.0
1510830,0,6,2019-01-24,NOT_READY,2019,1,24,3,-1.0
1510830,0,6,2019-01-24,NOT_READY,2019,1,24,3,0.0
1510830,0,6,2019-01-24,NOT_READY,2019,1,24,3,0.0
1510830,0,6,2019-01-24,NOT_READY,2019,1,24,3,0.0
1510830,0,6,2019-01-24,NOT_READY,2019,1,24,3,0.0
1510830,0,6,2019-01-24,NOT_READY,2019,1,24,3,0.0
1510830,0,6,2019-01-24,NOT_READY,2019,1,24,3,0.0
1510830,0,6,2019-01-24,NOT_READY,2019,1,24,3,0.0
1510830,0,6,2019-01-24,NOT_READY,2019,1,24,3,0.0
1510830,0,6,2019-01-24,NOT_READY,2019,1,24,3,0.0
1510830,0,6,2019-01-24,NOT_READY,2019,1,24,3,0.0
1510830,0,6,2019-01-24,NOT_READY,2019,1,24,3,0.0
1510830,0,6,2019-01-24,NOT_READY,2019,1,24,3,0.0
1510830,3,6,2019-01-30,FULLNESS,2019,1,30,2,3.0
1510830,3,6,2019-01-30,FULLNESS,2019,1,30,2,0.0
1510830,3,6,2019-01-30,FULLNESS,2019,1,30,2,0.0
1510830,3,6,2019-01-30,FULLNESS,2019,1,30,2,0.0
1510830,3,6,2019-01-30,FULLNESS,2019,1,30,2,0.0
1510830,3,6,2019-01-30,FULLNESS,2019,1,30,2,0.0
1510830,3,6,2019-01-31,FULLNESS,2019,1,31,3,0.0
1510830,1,6,2019-02-21,NOT_READY,2019,2,21,3,-2.0
1510830,3,6,2019-02-22,FULLNESS,2019,2,22,4,2.0
1510830,0,6,2019-02-23,NOT_READY,2019,2,23,5,-3.0
1510830,3,6,2019-02-24,FULLNESS,2019,2,24,6,3.0
1510830,0,6,2019-02-25,NOT_READY,2019,2,25,0,-3.0
1510830,0,6,2019-02-26,NOT_READY,2019,2,26,1,0.0
1510830,4,6,2019-02-28,FULLNESS,2019,2,28,3,4.0
1510830,4,6,2019-02-28,FULLNESS,2019,2,28,3,0.0
1510830,4,6,2019-03-01,FULLNESS,2019,3,1,4,0.0
1510830,0,6,2019-03-02,NOT_READY,2019,3,2,5,-4.0
1510830,0,6,2019-03-03,NOT_READY,2019,3,3,6,0.0
1510830,2,6,2019-03-04,NOT_READY,2019,3,4,0,2.0
1510830,2,6,2019-03-05,NOT_READY,2019,3,5,1,0.0
1510830,3,6,2019-03-06,FULLNESS,2019,3,6,2,1.0
1510830,0,6,2019-03-07,NOT_READY,2019,3,7,3,-3.0
1510830,2,6,2019-03-08,NOT_READY,2019,3,8,4,2.0
1510830,4,6,2019-03-09,FULLNESS,2019,3,9,5,2.0
1510830,0,6,2019-03-10,NOT_READY,2019,3,10,6,-4.0
1510830,0,6,2019-03-11,NOT_READY,2019,3,11,0,0.0
1510830,0,6,2019-03-12,NOT_READY,2019,3,12,1,0.0
